,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
192607,4.5486,-3.0695,-1.758,3.1246,-1.4536,2.3199,1.7135,-0.0895,-1.9826,-0.8906,1.3058,1.8432,0.6532,2.9218,-1.2519,0.7959,1.4022,1.4193,0.3541,2.6443,4.4438,3.4313,1.2294,3.5,1.3568
192608,-0.639,-5.365,1.3487,2.3192,6.0112,1.4788,-2.0897,3.5132,0.26,5.2613,-0.8583,1.924,1.9403,3.7542,8.0569,0.6785,3.7748,1.1883,1.3853,5.305,-0.1108,2.6545,2.2813,4.1448,6.4265
192609,-9.6884,-1.5828,-5.384,-5.4494,4.9205,-4.0411,-2.2981,0.9484,-3.3777,-2.0773,-2.0032,-0.4644,-2.8151,2.411,-3.7569,-0.8131,-1.2048,-2.2475,1.435,-0.3495,-1.9555,0.5184,-0.2958,-1.3842,-3.1426
192610,-7.965,-4.6784,-8.6975,3.9498,-3.7484,-3.7946,-1.8131,-4.8967,-8.2484,-1.9664,-5.6564,-3.275,0.0773,-3.4,-2.0595,-3.3208,-2.7627,-2.0002,-3.3949,-6.0402,-2.942,-3.0389,-3.8897,-3.9998,-6.6019
192611,-1.069,9.2527,1.2555,-4.1265,2.4518,-1.0721,-3.5637,2.2536,5.6081,1.9119,1.3248,4.1912,-0.8738,5.1651,3.12,2.7846,1.9535,3.2899,6.4082,1.2549,3.9968,3.245,2.8527,2.1641,2.3429
192612,11.5531,0.1452,0.0016,0.5653,-1.1347,3.1264,2.8939,0.8347,2.3907,5.6401,-2.9233,1.3101,-1.9595,2.3164,1.4762,2.9524,1.5626,0.6143,1.6972,-0.4146,2.2239,1.1535,1.2613,4.3537,2.8822
192701,2.6578,-10.1202,-6.3162,2.4523,3.3906,-0.3411,-4.6703,-0.8261,-0.9319,9.2826,-1.91,-0.9072,-0.5432,1.9529,2.2383,1.9701,1.6114,-0.5488,-0.171,6.6223,-1.0576,-0.7399,0.2332,0.9865,3.7535
192702,3.0567,-0.6819,9.1351,1.3549,11.0661,1.7451,9.7291,7.4869,4.9111,5.0966,6.0108,5.5025,4.1833,6.1369,12.4398,5.1354,4.1549,2.1706,6.5291,11.8264,4.113,3.2941,2.7744,6.7765,6.0918
192703,6.0781,6.1356,-10.9663,-1.3222,-5.5227,-3.8817,-1.375,-3.9386,-2.7051,-0.215,-1.6819,-3.9493,-2.1687,-2.2201,-5.6564,-2.8363,-0.5965,-1.3657,-2.3283,1.4973,-0.1234,-2.4058,-0.0972,-2.2139,-5.2339
192704,4.4704,9.7077,0.2226,3.7165,6.9022,-3.3311,-4.7903,-1.4718,0.061,1.4572,-1.7192,0.3736,-2.2012,1.4146,1.215,-1.3359,1.5082,-1.1538,0.5902,4.8958,1.6207,-0.8767,-0.1145,-1.668,-4.4354
192705,-0.3148,5.1152,2.1236,12.5661,9.5494,5.3202,2.1074,3.7519,6.9781,10.4839,1.135,5.1015,5.6479,5.704,15.5485,5.089,5.8924,3.3482,6.1157,8.2692,5.2199,4.9343,4.6239,5.2304,4.4373
192706,-10.2485,1.075,-12.3224,-0.0189,-2.4527,-0.3479,2.086,5.5217,0.6235,-4.7087,-3.4542,-4.3145,-2.1511,-1.4004,2.6609,0.6039,-3.6255,-4.1378,-3.5361,4.293,-1.9999,-5.1239,-3.6871,-3.8458,-7.0755
192707,31.4167,26.5795,5.4343,3.9035,5.5453,5.8972,6.0051,3.0139,6.9853,4.4579,1.5306,5.3739,5.8934,2.2972,7.3502,5.902,7.2235,6.5037,7.3925,0.7185,7.6837,6.5674,6.4296,5.9326,13.5988
192708,0.7328,-0.0412,0.2017,-1.9583,-0.1455,0.4747,-1.0718,-2.4073,-0.4607,4.9996,-0.1824,2.0313,2.0001,-2.7569,-4.8642,3.2432,2.7611,0.754,-3.0625,-5.4725,3.0247,1.4709,-0.5847,-0.7119,3.1213
